title,tag,info,comments,content
偷偷藏不住,豆瓣图书标签: 言情,竹已、悦读纪 / 青岛出版社 / 2020-4 / 59.8,(10956人评价),"七年前，也有这么一天。
她穿着干净的裙子，站在穿着学士服的段嘉许旁边，因为再次见到他而感到开心，又因为即将的离别而觉得难过至极。
她笨拙地藏着自己的心思，不..."
恰逢雨连天,豆瓣图书标签: 言情,沉筱之 / 青岛出版社 / 2022-3 / 69.80元,(385人评价),"这是万马齐喑的朝堂，上之所是必皆是，所非必非之，人人自危，只怕朝承恩暮赐死。
谢家阿雨，废相后人，家破人亡后化名苏晋，女扮男装入朝为官。
苏晋为寻心中明月，..."
青云台,豆瓣图书标签: 言情,沉筱之 / 江苏凤凰文艺出版社 / 2022-6 / 78.00（全2册）,(166人评价),"咸和十七年，苍弩大军压境而来，气势汹汹！
江风拂襟，水波滔滔，一百三十七名士子留下血书，投河明志！
沧浪水，洗白襟，震天下！
将军岳翀率七万将士，御敌于长渡..."
八千里路,豆瓣图书标签: 言情,玖月晞 / 江苏文艺出版社,(162人评价),《八千里路》是玖月晞全新甜蜜力作。娇气坏脾气的女孩，孟昀。从灯红酒绿的上海来到生活交通不便的云南小镇，做支教志愿者。意外碰到在当地扶贫的发电工程师陈樾。在相...
你是我的荣耀,豆瓣图书标签: 言情,顾漫 / 九州出版社 / 2019-6 / 36元,(11769人评价),"十年过去，乔晶晶意外的星光闪耀，高中拒绝过她的男神却似乎已经泯然众人……
时光匆匆，你依旧在我心中闪耀，我是否也能成为你的荣耀？
是乔晶晶。
高考一别以来，..."
﻿同名同姓受害者协会,豆瓣图书标签: 推理小说,[日] 下村敦史 / 虞侃 / 文汇出版社 / 2022-3 / 45,(6251人评价),"【内容简介】
你有没有在网上搜索过自己的名字？
你有没有想过，自己会因为名字，成为全网追杀的猎物？
一起震惊全国的惨案，幼女被连捅二十八刀。凶手的身份保密，..."
消失的13级台阶,豆瓣图书标签: 推理小说,[日] 高野和明 / 赵建勋 / 上海文艺出版社 / 2020-5-15 / 42.00元,(64755人评价),"【内容简介】
一对老夫妇惨遭杀害。一切证据都指向树原亮，他却因车祸，恰好丧失了案发前后数小时的记忆……
死刑执行官南乡携手刚假释出狱的纯一调查，希望替这位丧..."
爱丽丝罪恶奇境,豆瓣图书标签: 推理小说,[日] 早坂吝 / 潘郁灵 / 文汇出版社 / 2022-4 / 42,(1625人评价),"【内容简介】
欢迎来到“爱丽丝罪恶奇境”!
10岁生日当天，爱丽丝跟着白兔加入了一场致命游戏，
若想离开游戏中的罪恶奇境，她必须在24小时内破解5道难解谜题..."
绝叫,豆瓣图书标签: 推理小说,[日] 叶真中显 / 林佩瑾 / 北京联合出版公司 / 2020-7 / 58.00元,(49308人评价),"罗翔老师推荐！“这本书深刻地揭示了日本的社会问题，日本40多年来社会变迁的各种缩影。”
豆瓣「2020年度读书榜单」推理·悬疑类top1！
怀才者的自怜是天..."
大诱拐,豆瓣图书标签: 推理小说,[日] 天藤真 / 赵维真 / 新星出版社 / 2022-3 / 55.00元,(1849人评价),"2013年东西推理BEST100第7位
第三十二届日本推理作家协会奖
日本幽默推理先驱 天藤真
一百亿日元的冒险 华丽上演
笑点密集 温情治愈 热血沸腾
不..."
周四推理俱乐部,豆瓣图书标签: 推理小说,[英] 理查德·奥斯曼 / 张雅琳 / 接力出版社 / 2022-4 / 58.00元,(525人评价),"★本系列全球销量18个月突破500万册，被专业图书数据公司尼尔森称为“现象级出版物”
★ 影视版改编权被斯皮尔伯格公司购入，正在制作中
★ 网剧《沉默的真相..."
透明的螺旋,豆瓣图书标签: 推理小说,[日本] 东野圭吾 / 史诗 / 南海出版公司 / 2022-4 / 49,(1690人评价),"这是关于她、她、她……的故事。
一代代“她”，被透明的绳索束缚，被悲剧的螺旋围困。
亲爱的姑娘，别困在悲剧的循环里，快逃，快逃，快逃！
——————————..."
空城计,豆瓣图书标签: 推理小说,呼延云 / 新星出版社 / 2022-5 / 59.00元,(763人评价),"呼延云全新长篇力作——六小时全城攻防战！
神秘送餐员，接连袭击无辜儿童
深夜急诊室，险情不断生死未卜
“泻水置平地，各自东西南北流；人生亦有命，安能行叹复坐..."
罗杰疑案,豆瓣图书标签: 推理小说,[英] 阿加莎·克里斯蒂 / 常禾 / 新星出版社 / 2013-3 / 28.00元,(48371人评价),"金斯艾伯特村里坐落着两座豪宅，“皇家围场”是其中之一，而居住其中的弗拉尔斯太太刚刚过世。
此后不久，她的情人，也就是住在另一所大宅里的罗杰•艾克罗伊德先生便..."
五只小猪,豆瓣图书标签: 推理小说,[英] 阿加莎·克里斯蒂 / 周力 / 新星出版社 / 2014-10 / 28.00元,(10955人评价),年轻的卡拉小姐在结婚前夕被告知自己的身世——十六年前她的父亲被杀，而她的母亲被当做杀人凶手死在狱中。大为震惊的同时，她也收到了母亲临死前留给她的信，信中坚称...
13 67,豆瓣图书标签: 推理小说,陳浩基 / 皇冠文化出版有限公司 / 2014-6-9 / NT$350,(15428人评价),"我們以為自己走在正確的道路上，
為什麼走著走著，人生卻變了樣？
第一本讓我們感到驕傲的華文警察小說最高傑作！
一組數字，六個片斷，
構成一位警探的故事，
一..."
埋骨场不会言说,豆瓣图书标签: 推理小说,[日]市川忧人 / 朱东冬 / 新星出版社 / 2022-5 / 49.00元,(143人评价),"天衣无缝？完美犯罪？NO！
红发恶魔必然知晓你的罪恶
日本推理文坛新贵
第26届鲇川哲也奖得主 市川忧人
融合古典推理风与现代科技感的本格杰作
“红发警监&..."
ABC谋杀案,豆瓣图书标签: 推理小说,[英] 阿加莎·克里斯蒂 / 赵文伟 / 新星出版社 / 2013-6 / 28.00元,(22194人评价),"“那就让我们看看，聪明的波洛先生到底有多聪明。”

化名ABC的连环杀人狂按照列车时刻表的字母顺序，一步步实施杀人计划。他狂妄地向波洛发出挑战书，整个英国因..."
恶意,豆瓣图书标签: 推理小说,[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2016-11-1 / 39.50元,(83168人评价),《恶意》是东野圭吾挑战写作极限的长篇杰作，与《白夜行》《嫌疑人X的献身》《解忧杂货店》并称东野圭吾四大杰作。《恶意》深刻揭示人性，故事中无边的恶意深不见底，...
诡计集成,豆瓣图书标签: 推理小说,[日] 江户川乱步 / 陈冠贵 / 中译出版社 / 2022-4 / 59,(80人评价),"【看推理，先看江户川乱步！推理诡计的百科全书，侦探小说百年历程的大总结！推理上瘾者必读、侦探爱好者的宝典！】
被称为“日本推理小说之父”的江户川乱步写作的随..."
无人生还,豆瓣图书标签: 推理小说,[英] 阿加莎·克里斯蒂 / 夏阳 / 新星出版社 / 2013-7 / 28.00元,(58360人评价),"十个素不相识、身份各异的人受邀前往德文郡海岸边一座孤岛上的豪宅。客人到齐后，主人却没有出现。
当晚，一个神秘的声音发出指控，分别说出每个人心中罪恶的秘密。接..."
