"_id","author","bookid","commentnum","describle","pic1","press","publishdate","rating","tags","title","unitprice"
"62cafa2e4039b36c9e202071","[日] 东野圭吾/刘姿君","10554308","396234","一宗离奇命案牵出跨度近20年步步惊心的故事","https://img9.doubanio.com/view/subject/s/public/s24514468.jpg","南海出版公司","2013-1-1","9.2","[ { ""_id"" : { ""$oid"" : ""62cc1dec98d6a775d803bf0a"" }, ""title"" : ""白夜行"", ""content"" : ""东野圭吾万千书迷心中的无冕之王\n周刊文春推理小说年度BEST10第1名\n本格推理小说年度BEST10第2名\n《白夜行》是东野圭吾迄今口碑最好的长篇杰作，具备..."", ""tag"" : ""日本文学"" }, { ""_id"" : { ""$oid"" : ""62cc1dec98d6a775d803c0b7"" }, ""title"" : ""白夜行"", ""content"" : ""东野圭吾万千书迷心中的无冕之王\n周刊文春推理小说年度BEST10第1名\n本格推理小说年度BEST10第2名\n《白夜行》是东野圭吾迄今口碑最好的长篇杰作，具备..."", ""tag"" : ""推理"" }, { ""_id"" : { ""$oid"" : ""62cc1dec98d6a775d803c0d5"" }, ""title"" : ""白夜行"", ""content"" : ""东野圭吾万千书迷心中的无冕之王\n周刊文春推理小说年度BEST10第1名\n本格推理小说年度BEST10第2名\n《白夜行》是东野圭吾迄今口碑最好的长篇杰作，具备..."", ""tag"" : ""悬疑"" }, { ""_id"" : { ""$oid"" : ""62cc1dec98d6a775d803c0e8"" }, ""title"" : ""白夜行"", ""content"" : ""东野圭吾万千书迷心中的无冕之王\n周刊文春推理小说年度BEST10第1名\n本格推理小说年度BEST10第2名\n《白夜行》是东野圭吾迄今口碑最好的长篇杰作，具备..."", ""tag"" : ""东野圭吾"" }, { ""_id"" : { ""$oid"" : ""62cc1dec98d6a775d803c148"" }, ""title"" : ""白夜行"", ""content"" : ""东野圭吾万千书迷心中的无冕之王\n周刊文春推理小说年度BEST10第1名\n本格推理小说年度BEST10第2名\n《白夜行》是东野圭吾迄今口碑最好的长篇杰作，具备..."", ""tag"" : ""推理小说"" } ]","白夜行","39.50元"
"62cafa2e4039b36c9e202072","[意] 伊塔洛·卡尔维诺/吴正仪","10555486","19316","无","https://img9.doubanio.com/view/subject/s/public/s8972073.jpg","译林出版社","2012-4-1","8.8","[ ]","分成两半的子爵","20.00元"
"62cafa2e4039b36c9e202073","[意] 伊塔洛·卡尔维诺/张密","10555509","28607","无","https://img9.doubanio.com/view/subject/s/public/s8972088.jpg","译林出版社","2012-4","9.0","[ ]","看不见的城市","25.00元"
"62cafa2e4039b36c9e202074","(英)W.萨默塞特·毛姆/阮景林","10560798","65199","揭去生活的面纱","https://img9.doubanio.com/view/subject/s/public/s9038826.jpg","重庆出版社","2012-05-01","8.8","[ { ""_id"" : { ""$oid"" : ""62cc1dec98d6a775d803bebf"" }, ""title"" : ""面纱"", ""content"" : ""★同名电影《面纱》小说原著\n★爱、幻灭、生死、背叛、别离\n★毛姆最具争议作品\n★女性精神觉醒经典读本\n★毛姆剖析人性三大力作——《刀锋》《面纱》《人性的枷锁..."", ""tag"" : ""外国文学"" }, { ""_id"" : { ""$oid"" : ""62cc1ded98d6a775d803c5cb"" }, ""title"" : ""面纱"", ""content"" : ""★同名电影《面纱》小说原著\n★爱、幻灭、生死、背叛、别离\n★毛姆最具争议作品\n★女性精神觉醒经典读本\n★毛姆剖析人性三大力作——《刀锋》《面纱》《人性的枷锁..."", ""tag"" : ""爱情"" }, { ""_id"" : { ""$oid"" : ""62cc1ded98d6a775d803c5ce"" }, ""title"" : ""面纱"", ""content"" : ""“那描画的面纱，芸芸众生称之为生活”\n凯蒂怎么也琢磨不透，丈夫到底有没有发现她出轨的秘密——偷情时门把手的转动、晚餐时意有所指的话语，还有突然要带她前往霍乱..."", ""tag"" : ""爱情"" } ]","面纱","32.00元"
"62cafa2e4039b36c9e202075","陈忠实","10564071","84216","一轴关于我们民族灵魂的现实主义画卷","https://img9.doubanio.com/view/subject/s/public/s28111905.jpg","人民文学出版社","2012-9","9.3","[ { ""_id"" : { ""$oid"" : ""62cc1dec98d6a775d803bee6"" }, ""title"" : ""白鹿原"", ""content"" : ""在从清末民初到建国之初的半个世纪里，一阵阵狂风掠过了白鹿原上空，而每一次的变动都震荡着它的内在结构：打乱了再恢复，恢复了再打乱，细腻地反映出白姓和鹿姓两大家..."", ""tag"" : ""中国文学"" } ]","白鹿原","39.00元"
"62cafa2e4039b36c9e202076","(美) 斯塔夫里阿诺斯/吴象婴","10583099","19130","从史前史到21世纪","https://img9.doubanio.com/view/subject/s/public/s29796663.jpg","北京大学出版社","2012-2-1","9.1","[ { ""_id"" : { ""$oid"" : ""62cc1ded98d6a775d803c340"" }, ""title"" : ""全球通史"", ""content"" : ""《全球通史》由斯塔夫里阿诺斯著，吴象婴、梁赤民、董书慧、王昶译，作者在本书中采用全新的史学观点和方法，将整个世界看作一个不可分割的有机的统一体，从全球的角度..."", ""tag"" : ""历史"" } ]","全球通史","168.00元"
"62cafa2e4039b36c9e202077","[哥伦比亚] 加西亚·马尔克斯/杨玲","10594787","247446","义无反顾地直达爱情的核心","https://img9.doubanio.com/view/subject/s/public/s11284102.jpg","南海出版公司","2012-9-1","9.0","[ { ""_id"" : { ""$oid"" : ""62cc1dec98d6a775d803be97"" }, ""title"" : ""霍乱时期的爱情"", ""content"" : ""★马尔克斯唯一正式授权，首次完整翻译\n★《霍乱时期的爱情》是我最好的作品，是我发自内心的创作。——加西亚•马尔克斯\n★这部光芒闪耀、令人心碎的作品是人类有史..."", ""tag"" : ""小说"" }, { ""_id"" : { ""$oid"" : ""62cc1dec98d6a775d803bead"" }, ""title"" : ""霍乱时期的爱情"", ""content"" : ""★马尔克斯唯一正式授权，首次完整翻译\n★《霍乱时期的爱情》是我最好的作品，是我发自内心的创作。——加西亚•马尔克斯\n★这部光芒闪耀、令人心碎的作品是人类有史..."", ""tag"" : ""外国文学"" }, { ""_id"" : { ""$oid"" : ""62cc1dec98d6a775d803bec4"" }, ""title"" : ""霍乱时期的爱情"", ""content"" : ""★马尔克斯唯一正式授权，首次完整翻译\n★《霍乱时期的爱情》是我最好的作品，是我发自内心的创作。——加西亚•马尔克斯\n★这部光芒闪耀、令人心碎的作品是人类有史..."", ""tag"" : ""经典"" }, { ""_id"" : { ""$oid"" : ""62cc1dec98d6a775d803bf60"" }, ""title"" : ""霍乱时期的爱情"", ""content"" : ""★马尔克斯唯一正式授权，首次完整翻译\n★《霍乱时期的爱情》是我最好的作品，是我发自内心的创作。——加西亚•马尔克斯\n★这部光芒闪耀、令人心碎的作品是人类有史..."", ""tag"" : ""名著"" } ]","霍乱时期的爱情","39.50元"
"62cafa2e4039b36c9e202078","[美] 斯科特·菲茨杰拉德/邓若虚","10738023","45064","无","https://img9.doubanio.com/view/subject/s/public/s9110246.jpg","南海出版公司","2012-5","8.7","[ { ""_id"" : { ""$oid"" : ""62cc1ded98d6a775d803c6e4"" }, ""title"" : ""了不起的盖茨比"", ""content"" : ""★ 20世纪全球百部英语小说第2名\n★ 村上春树最爱的书\n★ 村上春树万字长文导读\n★ 全新译本完美呈现原著魅力\n★ 如果没有与《了不起的盖茨比》相遇，我写..."", ""tag"" : ""情感"" } ]","了不起的盖茨比","25.00元"
"62cafa2e4039b36c9e202079","田余庆","10758290","8252","无","https://img9.doubanio.com/view/subject/s/public/s10206185.jpg","北京大学出版社","2012-5","9.5","[ { ""_id"" : { ""$oid"" : ""62cc1ded98d6a775d803c346"" }, ""title"" : ""东晋门阀政治"", ""content"" : ""本书以丰富的史料和周密的考证分析，对中国中古历史中的门阀政治问题作了再探索，认为中外学者习称的魏晋南北朝门阀政治，实际上只存在于东晋一朝；门阀政治是皇权政治..."", ""tag"" : ""历史"" } ]","东晋门阀政治","49.00元"
"62cafa2e4039b36c9e20207a","[英] 威廉·萨默塞特·毛姆/冯亦代","10774752","11272","在各种光怪陆离的场景中，迷失的人性引发了一连串的悲剧","https://img9.doubanio.com/view/subject/s/public/s24174596.jpg","译林出版社","2012-11","9.1","[ ]","毛姆短篇小说精选集","36.00元"
